ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREG_ASSUNTO;AGREG_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CD;Censo Demográfico;10089;População residente, total e quilombola, por sexo e grupos de idade, segundo localização e situação do domicílio;População quilombola;https://sidra.ibge.gov.br/tabela/10089;1000093;População residente - percentual do total geral;Percentual;1 | 2 | 58 | 2661;Situação do domicílio | Sexo | Grupo de idade | Localização do domicílio;2 | 6794 | 95253 | 32776;Rural | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.07
CD;Censo Demográfico;10089;População residente, total e quilombola, por sexo e grupos de idade, segundo localização e situação do domicílio;População quilombola;https://sidra.ibge.gov.br/tabela/10089;1000093;População residente - percentual do total geral;Percentual;1 | 2 | 58 | 2661;Situação do domicílio | Sexo | Grupo de idade | Localização do domicílio;1 | 6794 | 95253 | 32776;Urbana | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;93.93
CD;Censo Demográfico;10139;Taxa de escolarização das pessoas de 6 anos ou mais de idade, por sexo, grupos de idade e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10139;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;2 | 58 | 839;Sexo | Grupo de idade | Existência de deficiência;6794 | 95253 | 46583;Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;23.48
CD;Censo Demográfico;10139;Taxa de escolarização das pessoas de 6 anos ou mais de idade, por sexo, grupos de idade e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10139;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;2 | 58 | 839;Sexo | Grupo de idade | Existência de deficiência;6794 | 31615 | 46583;Total | 6 a 14 anos | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;97.10
CD;Censo Demográfico;10139;Taxa de escolarização das pessoas de 6 anos ou mais de idade, por sexo, grupos de idade e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10139;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;2 | 58 | 839;Sexo | Grupo de idade | Existência de deficiência;6794 | 2792 | 46583;Total | 15 a 17 anos | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;82.30
CD;Censo Demográfico;10139;Taxa de escolarização das pessoas de 6 anos ou mais de idade, por sexo, grupos de idade e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10139;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;2 | 58 | 839;Sexo | Grupo de idade | Existência de deficiência;6794 | 100052 | 46583;Total | 18 a 24 anos | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;24.68
CD;Censo Demográfico;10139;Taxa de escolarização das pessoas de 6 anos ou mais de idade, por sexo, grupos de idade e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10139;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;2 | 58 | 839;Sexo | Grupo de idade | Existência de deficiência;6794 | 108866 | 46583;Total | 25 anos ou mais | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.03
CD;Censo Demográfico;10056;Taxa bruta de frequência escolar, segundo os grupos de idade, o sexo e a cor ou raça;Educação;https://sidra.ibge.gov.br/tabela/10056;3795;Taxa de frequência escolar bruta;%;2 | 58 | 86;Sexo | Grupo de idade | Cor ou raça;6794 | 95253 | 95251;Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;26.28
CD;Censo Demográfico;10135;Taxa de analfabetismo das pessoas de 15 anos ou mais de idade por grupo de idade, cor ou raça, sexo e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10135;10267;Taxa de analfabetismo das pessoas de 15 anos ou mais de idade;%;2 | 58 | 86 | 839;Sexo | Grupo de idade | Cor ou raça | Existência de deficiência;6794 | 95253 | 95251 | 46583;Total | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;2.80
CD;Censo Demográfico;10062;Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça;Educação;https://sidra.ibge.gov.br/tabela/10062;13285;Número médio de anos de estudo das pessoas de 11 anos ou mais de idade;Anos;2 | 58 | 86;Sexo | Grupo de idade | Cor ou raça;6794 | 108866 | 95251;Total | 25 anos ou mais | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;11.0
