ID_CLASSIFICACAO;CLASSIFICACAO_NOME
11797;Rede de ensino
11798;Nível de ensino ou curso que frequentavam
11799;Grandes Regiões de residência em 31/07/1995
118;Número de dias em que fumou cigarros nos últimos 30 dias
1180;Tipos de serviços ambientais pagos
11801;Indicativo de filhos
11802;Tipo de nascimento
11803;Grupos de horas habitualmente trabalhadas por semana em todos os trabalhos
11804;Classes de rendimento nominal mensal do trabalho principal
11805;Seção de atividade do trabalho principal
11806;Posição na ocupação, subgrupo e categoria do emprego
11807;Sexo da pessoa responsável pela família
1182;Ocorrência de algum impacto ambiental e/ou processo/ação que resulte em impacto no ambiente
11855;Existência de serviços e bens duráveis
11861;Existência de banheiro ou sanitário e tipo de esgotamento sanitário
1187;Ano da seca de maior impacto
1188;Ocorrências no ano da seca de maior impacto
11913;Posição na ocupação e categoria do emprego no trabalho principal
11915;Classes de rendimento nominal mensal de todos os trabalhos
1192;Ações para evitar ou minimizar os danos causados pela seca
11939;Classificação Nacional de Atividades Econômicas (CNAE)
1195;Ocorrência de alagamento nos últimos 4 anos
1196;Ocorrência de processo erosivo nos últimos 4 anos
11969;Tipo de serviço de saneamento básico
1197;Frequência com que usou camisinha
11970;Principal solução alternativa
11971;Tipo de captação de água
11972;Existência e forma de proteção na captação
11973;Natureza jurídica das entidades prestadoras de serviço
11974;Existência e tipo de tratamento da água
11975;Existência e tipo de análise realizada na água
11977;Tipo e frequência da análise
11978;Destino do lodo gerado
11979;Existência e motivo do racionamento
11980;Periodicidade do racionamento de água
11981;Realização de vigilância da qualidade da água
11982;Cobrança pelo serviço de abastecimento de água
11983;Esfera administrativa das entidades prestadoras de serviço
11984;Faixa de volume de consumo de água
11985;Tipo de controle de perdas de água
11987;Percentual de perdas faturadas
11988;Existência e localização de macromedidores
11989;Existência de flúor na água distribuída
1199;Motivo de não ter usado camisinha
11990;Tipo de composto utilizado
11991;Tempo de existência da fluoretação
11993;Existência e tempo de interrupção da fluoretação
11994;Existência e localização de pontos de controle ou monitoramento da fluoretação
11995;Frequência da análise da concentração de fluor
11996;Parte do sistema onde estâo sendo feitas as ampliações ou melhorias
11997;Alocação do pessoal
11998;Existência de serviço de atendimento ao público
12;Grau de integração com o mercado
120;Nos últimos 7 dias, em quantos outras pessoas fumaram na casa do escolar
12001;Existência e tipo de poluição ou contaminação na captação
12005;Tipo de rede coletora de esgoto sanitário
12006;Tipo de corpos receptores de esgoto sanitário
12007;Tipo de sistema de tratamento de esgoto sanitário
12008;Existência e tipo de tratamento complementar
12009;Existência e tipo de tratamento do lodo
12010;Existência e número de interceptores
12011;Tipo de uso dos corpos receptores
12012;Existência e cobrança do serviço de coleta
12013;Percentual da tarifa cobrada
12014;Parte do sistema de esgotamento sanitário onde estão sendo feitas ampliações ou melhorias
12015;Existência e tipo de serviço de atendimento ao público
12017;Naturalidade em relação ao município e à unidade da federação
12019;Unidade da federação de residência
12021;Classes de rendimento mensal
12023;Aposentadas e/ou pensionistas
12025;Classes de rendimento mensal de todos os trabalhos
12027;Contribuição para instituto de previdência em qualquer trabalho
12028;Atividade do trabalho principal
12029;Posição na ocupação no trabalho principal
12031;Número de trabalhos
12032;Associação a sindicatos
12033;Contribuição para previdência privada
12034;Grupos de idade com que começaram a trabalhar
12035;Indicativo de rendimento
12037;Posição na ocupação no trabalho secundário
12038;Contribuição para instituto de previdência
12039;Ramo de atividade do trabalho principal
12040;Contribuição para instituto de previdência no trabalho principal
12041;Local de estabelecimento do trabalho principal
12043;Tempo de permanência no trabalho principal
12044;Classes de rendimento mensal do trabalho principal
12045;Grupos de horas habitualmente trabalhadas por semana no trabalho principal
12046;Categoria do emprego
12047;Grupos de ocupação do trabalho principal
12048;Número de pessoas ocupadas no trabalho principal
12049;Condição de atividade e de ocupação na semana de referência
12051;Período de referência
12052;Tipo de sindicato
12053;Ramo de atividade do trabalho principal no período de referência de 365 dias
12055;Indicativo e número de filhos nascidos vivos
12056;Condição de atividade na semana de referência
12057;Classes de rendimento mensal familiar
12058;Classes de rendimento mensal domiciliar
12059;Classes de rendimento mensal de todas as fontes da pessoa de referência da família
12060;Alguns bens duráveis existentes no domicílio
12061;Banheiro ou sanitário
12062;Existência de telefone
12063;Deslocamento para trabalho ou estudo
12064;Grandes grupos de ocupação no trabalho principal
12065;Classes de rendimento nominal mensal domiciliar
12066;Classes simples de percentual em ordem crescente de rendimento
12067;Classes acumuladas de percentual em ordem crescente de rendimento
12069;Tipos de nascimento
12071;Posição na ocupação no trabalho principal na semana de referência
12072;Grupamento de atividade do trabalho principal
12075;Indicador de situação habitacional
12081;Frequência à creche ou escola
12082;Indicativo de deficiência física
12083;Frequência à escola, rede de ensino que frequentavam e tempo de permanência diário na escola
12085;Situação de ocupação na semana de referência
12086;Sexo da pessoa de referência da família
12087;Rede de ensino que frequentavam
12088;Número de componentes da família
12089;Tempo de permanência na escola
12090;Principal motivo de não frequentarem escola
12091;Condição de remuneração no trabalho principal
12092;Condição de satisfação com o trabalho principal
12093;Utilização de máquina, ferramenta, instrumento ou produto químico no trabalho principal
12094;Frequência à escola e rede de ensino que frequentavam
12096;Condição de ocupação na semana de referência
121;Qual dos pais ou responsáveis pelo escolar fuma
1210;Ano do desastre natural de maior impacto para o município
12101;Situação do domicílio de residência em 31/07/1995
12102;Lugar de residência em 31.07.1995
12103;Grupos de horas trabalhadas por semana em todos os trabalhos
12104;Forma de abastecimento de água e tipo de canalização
12105;Grupos de pessoas no empreendimento
12107;Lugar de residência em 31/07/1995
12108;Lugar de residência em 31 de julho de 1995
1211;Existência de edificações atingidas no ano do desastre natural de maior impacto para o município
12116;Instrumento financeiro
1212;Existência de pessoas desalojadas ou desabrigadas no ano do desastre natural de maior impacto para o município
12121;Produtos ou serviços prestados
12122;Origem da carga
12123;Classes e gêneros de indústria
12124;Vínculo de secretaria ou setor
12125;Existência de legislação municipal que exige aprovação e implantação de sistema drenagem pluvial para loteamentos novos e/ou populares
12126;Tipo de instrumento regulador do serviço
12127;Percentual do orçamento destinado aos serviços
12128;Tipo de rede de drenagem
1213;Ocorrência de óbitos no ano do desastre natural de maior impacto para o município
12130;Pontos de lançamento do efluente
12131;Número de bacias
12132;Existência de assoreamento da rede de drenagem
12133;Utilização das informações
12134;Tipo de atividade desenvolvida na manutenção
12135;Pontos de estrangulamento que resultam em inundações
12136;Fatores agravantes
12137;Fatores agravantes da erosão
12138;Tipo de erosão
12139;Tipo de situação das encostas
1214;Área(s) onde ocorreram as enchentes ou inundações graduais
12140;Tipo de área de risco no perímetro urbano
12141;Tipo de sistema de drenagem urbana
12142;Percentual de ruas pavimentadas
12143;Percentual de ruas pavimentadas sem drenagem
12144;Percentual de ruas pavimentadas com drenagem subterrâneo
12145;Percentual de ruas pavimentadas com drenagem superficial
1215;Existência de intervenções para evitar ou minimizar os danos causados por enchentes ou inundações graduais
12166;Grupamentos de atividade do trabalho principal
12167;Grupamentos ocupacionais no trabalho principal
12171;Forma de execução dos serviços
12174;Subsetores industriais
12176;Seções e atividades industriais
12182;Percentual de domicílios com lixo coletado
12183;Percentual do orçamento gasto com pessoal ocupado nos serviços
12184;Controle da disposição do lixo industrial
12186;Frequência da coleta de resíduos sólidos
12187;Tipo de serviço de coleta de resíduos sólidos
12188;Forma de execução de varrição e/ou capina
12189;Grupos de despesa
12190;Tipos de despesa
12191;Classes de rendimento monetário e não monetário mensal familiar
12192;Avaliação do grau de dificuldade para chegar ao fim do mês com rendimento monetário familiar
12193;Avaliação da quantidade de alimento consumido pela família
12194;Avaliação do tipo de alimento consumido pela família
12195;Motivo do não consumo
12196;Avaliação da condição de moradia em relação a alguns serviços
12197;Existência de problemas no domicílio
12198;Unidades de destinação final dos resíduos sólidos domiciliares e/ou públicos
12199;Unidade de destinação final do lixo coletado
122;Se quiser, o escolar consegue comprar cigarro na escola
12200;Forma de disposição no solo do município
12201;Existência e tipo de processamento dos resíduos sólidos de serviços de saúde sépticos
12202;Destinação dos resíduos sólidos industriais perigosos e/ou não-inertes
12203;Origem da receita
12206;Existência de área no município para a disposição final dos resíduos
12207;Propriedade das áreas utilizadas
12208;Localização de destino do lixo
12209;Existência de recebimento de lixo de outro município
12210;Existência de catadores nas unidades de destinação final do lixo
12211;Tipo de trabalho social desenvolvido com os catadores
12212;Existência de residências nas unidades de destinação final de lixo
12213;Motivo da interrupção da coleta seletiva
12215;Tipo de participação no projeto
12216;Tipo de material recolhido
12217;Destinação do material coletado
12218;Principal receptor da coleta seletiva
12220;Tipos de veículos e equipamentos
12221;Indicação do serviço executado
12223;Grupos de atividades
12224;Tipos de obras e/ou serviços
12225;Classes de atividades
12227;Níveis 50 e 100
12228;Existência de microcomputador, acesso à Internet e tipo de telefone
12229;Grau que frequentavam
12230;Unidades da Federação de residência em 31/07/1995
12232;Grupos de idade das mulheres
12233;Existência de iluminação pública no entorno
12234;Existência de identificação no entorno
12235;Existência de calçamento/pavimentação da rua no entorno
12236;Adequação da moradia
12237;Cor ou raça da pessoa responsável pelo domicílio
12238;Mulheres de 10 anos e mais de idade
12239;Situação do domicílio atual
12240;Grupos de idade da pessoa responsável pela família
12241;Anos de estudo da pessoa responsável pela família
12242;Classes de rendimento nominal mensal da pessoa responsável pela família
12243;Condição de atividade e seção de atividade da pessoa responsável pela família
12244;Condição de atividade e posição na ocupação da pessoa responsável pela família
12245;Classes de rendimento nominal mensal familiar per capita
12249;Classes de rendimento nominal mensal familiar
12250;Número de componentes da família e número dos que têm rendimentos
12251;Condição de atividade e condição de ocupação
12252;Cor ou raça da pessoa responsável pela família
12253;Cor ou raça do cônjuge da pessoa responsável pela família
12254;Número de filhos não economicamente ativos
12255;Classes de rendimento nominal mensal das pessoas responsáveis pelas famílias sem cônjuge ou dos casais
12256;Existência de cônjuge e da pessoa responsável e cônjuge com e sem rendimento
12257;Condição de convivência
12258;Avaliação do estado de saúde
12259;Restrição de atividades nas duas últimas semanas
1226;Tipo de violência
12260;Declaração e número de doenças crônicas declaradas
12262;Cobertura de plano de saúde
12265;Tipo de serviço normalmente procurado
12267;Classes de valor da mensalidade do plano de saúde principal
1227;Tipo de consequência para saúde
12272;Motivo principal da procura de atendimento de saúde
12273;Situação de atendimento na primeira ou na última procura
12274;Tipo de serviço onde foi atendido
12275;Realização e número de consultas médicas nos últimos 12 meses
12276;Atendimento através de plano de saúde
12277;Pagamento pelo atendimento
12278;Atendimento através do SUS
12279;Avaliação do atendimento
1228;Áreas onde ocorreram enxurradas ou inundações bruscas
12280;Situação de consulta ao dentista e época da última consulta realizada
12281;Situação de internação hospitalar nos últimos doze meses e o número de internações
12282;Número de internações
12285;Motivo do não atendimento
12288;Situação de realização de exame clínico das mamas
1229;Existência de intervenções implementadas para evitar ou minimizar os danos causados por enxurradas ou inundações bruscas
12291;Número de filhos tidos nascidos vivos
12293;Cor ou raça das mulheres
12295;Sexo dos filhos
12296;Pessoal ocupado, grupos e classes de atividades
12297;Frequência de utilização da internet
123;Se o escolar fumasse cigarros, qual seria a reação da família dele se ficasse sabendo
12302;Grupos de anos de estudo das mulheres
12303;Mulheres de 10 anos ou mais de idade que viviam ou já viveram em companhia de cônjuge ou companheiro que tiveram filhos
1233;Área(s) onde ocorreram escorregamentos ou deslizamentos de encostas
1234;Existência de intervenção para evitar ou minimizar os danos causados por escorregamentos ou deslizamentos de encostas
1235;Existência de instrumento de planejamento de gestão de riscos e desastres no município
12352;Formas de comercialização
12353;Participação na receita líquida de revenda
12354;Grandes regiões e unidades da federação de atuação das empresas
12355;Atividades de serviços
12356;Serviços prestados às famílias
12357;Serviços de informação
12358;Serviços prestados às empresas
12359;Transportes, serviços auxiliares aos transportes e correios
1236;Existência de medidas adotadas em relação à gestão de riscos de desastres decorrentes de enchentes ou inundações graduais, ou enxurradas ou inundações bruscas
12360;Atividades imobiliárias
12361;Serviços de manutenção e reparação
12362;Outras atividades de serviços
1237;Existência de limpeza periódica dos bueiros da cidade, especialmente, antes do período de chuvas
12375;Tempo de permanência diária na creche ou escola
12376;Oferta gratuita de merenda escolar ou outra refeição pela creche ou escola
12377;Consumo de merenda escolar ou outra refeição gratuita
1238;Existência de medidas adotadas em relação à gestão de riscos de desastres decorrentes de escorregamentos ou deslizamentos de encostas
12380;Recebimento de dinheiro de programa social do governo no mês de referência
12381;Classes de rendimento mensal domiciliar per capita
12383;Posição na ocupação, subgrupo e categoria do emprego e contribuição para instituto de previdência oficial no trabalho principal
12384;Classes simples de percentual em ordem crescente de rendimento familiar
12385;Classes acumuladas de percentual em ordem crescente de rendimento familiar
12386;Ano de fundação
12388;Tipo de empresa, quanto à diversificação
12389;Número de trabalhos na semana de referência
1239;Existência de instuições de apoio a gestão de riscos e de desastres
12390;Seção, divisão e classe de atividade do trabalho principal
12391;Posição na ocupação, subgrupo e categoria do emprego no trabalho principal
12392;Número de empregados no trabalho principal
12393;Condição de aposentado no mês de referência
12394;Grupos de ocupação (antiga classificação) no trabalho principal
12395;Setor de atividade (antiga classificação) do trabalho principal
12396;Subgrupo e categoria do emprego no trabalho principal
12397;Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal
124;Experimentou bebida alcoólica alguma vez na vida
12400;Nível educacional concluído
12401;Nível concluído
12402;Áreas gerais, específicas e detalhadas de formação
12403;Frequência à creche ou escola, nível de ensino e série que frequentavam
12404;Situação de segurança alimentar existente no domicílio
