ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREGADO_ASSUNTO;AGREGADO_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;6576 | 6794 | 95251;19 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;6099
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93087 | 6794 | 95251;20 a 24 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;33828
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93088 | 6794 | 95251;25 a 29 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;33224
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93089 | 6794 | 95251;30 a 34 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;34015
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93090 | 6794 | 95251;35 a 39 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;36367
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93091 | 6794 | 95251;40 a 44 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;36915
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93092 | 6794 | 95251;45 a 49 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;31391
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93093 | 6794 | 95251;50 a 54 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;29109
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93094 | 6794 | 95251;55 a 59 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;26421
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;93;População residente;Pessoas;287 | 2 | 86;Idade | Sexo | Cor ou raça;93095 | 6794 | 95251;60 a 64 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;22769
